Package                           Version            Latest               Type
--------------------------------- ------------------ -------------------- -----
aiobotocore                       2.5.4              2.15.2               wheel
aiohttp                           3.9.5              3.11.2               wheel
aioitertools                      0.7.1              0.12.0               wheel
aiosignal                         1.2.0              1.3.1                wheel
alabaster                         0.7.16             1.0.0                wheel
altair                            5.0.1              5.4.1                wheel
anaconda-cloud-auth               0.5.1              0.7.2                wheel
annotated-types                   0.6.0              0.7.0                wheel
anyio                             4.2.0              4.6.2.post1          wheel
appnope                           0.1.3              0.1.4                wheel
appscript                         1.1.2              1.3.0                wheel
archspec                          0.2.3              0.2.5                wheel
argon2-cffi                       21.3.0             23.1.0               wheel
arrow                             1.2.3              1.3.0                wheel
astroid                           2.14.2             3.3.5                wheel
astropy                           6.1.0              6.1.6                wheel
astropy-iers-data                 0.2024.6.3.0.31.14 0.2024.11.11.0.32.38 wheel
asttokens                         2.0.5              2.4.1                wheel
atomicwrites                      1.4.0              1.4.1                sdist
attrs                             23.1.0             24.2.0               wheel
Automat                           20.2.0             24.8.1               wheel
autopep8                          2.0.4              2.3.1                wheel
Babel                             2.11.0             2.16.0               wheel
bcrypt                            3.2.0              4.2.0                wheel
black                             24.4.2             24.10.0              wheel
bleach                            4.1.0              6.2.0                wheel
blinker                           1.6.2              1.9.0                wheel
bokeh                             3.4.1              3.6.1                wheel
boltons                           23.0.0             24.1.0               wheel
botocore                          1.31.17            1.35.63              wheel
Bottleneck                        1.3.7              1.4.2                wheel
Brotli                            1.0.9              1.1.0                wheel
cachetools                        5.3.3              5.5.0                wheel
cffi                              1.16.0             1.17.1               wheel
chardet                           4.0.0              5.2.0                wheel
charset-normalizer                2.0.4              3.4.0                wheel
cloudpickle                       2.2.1              3.1.0                wheel
comm                              0.2.1              0.2.2                wheel
conda-pack                        0.7.1              0.8.1                wheel
conda-package-handling            2.3.0              2.4.0                wheel
conda_package_streaming           0.10.0             0.11.0               wheel
contourpy                         1.2.0              1.3.1                wheel
cryptography                      42.0.5             43.0.3               wheel
cycler                            0.11.0             0.12.1               wheel
cytoolz                           0.12.2             1.0.0                wheel
dask                              2024.5.0           2024.11.2            wheel
dask-expr                         1.1.0              1.1.19               wheel
datashader                        0.16.2             0.16.3               wheel
debugpy                           1.6.7              1.8.8                wheel
diff-match-patch                  20200713           20241021             wheel
dill                              0.3.8              0.3.9                wheel
distlib                           0.3.8              0.3.9                wheel
distributed                       2024.5.0           2024.11.2            wheel
docstring-to-markdown             0.11               0.15                 wheel
docutils                          0.18.1             0.21.2               wheel
et-xmlfile                        1.1.0              2.0.0                wheel
executing                         0.8.3              2.1.0                wheel
fastapi                           0.114.1            0.115.5              wheel
fastjsonschema                    2.16.2             2.20.0               wheel
filelock                          3.13.1             3.16.1               wheel
flake8                            7.0.0              7.1.1                wheel
Flask                             3.0.3              3.1.0                wheel
fonttools                         4.51.0             4.55.0               wheel
frozendict                        2.4.2              2.4.6                wheel
frozenlist                        1.4.0              1.5.0                wheel
fsspec                            2023.6.0           2024.10.0            wheel
gensim                            4.3.2              4.3.3                wheel
gitdb                             4.0.7              4.0.11               wheel
GitPython                         3.1.37             3.1.43               wheel
greenlet                          3.0.1              3.1.1                wheel
grpcio                            1.66.1             1.68.0               wheel
h5py                              3.11.0             3.12.1               wheel
holoviews                         1.19.0             1.20.0               wheel
httpcore                          1.0.2              1.0.7                wheel
httpx                             0.27.0             0.27.2               wheel
hvplot                            0.10.0             0.11.1               wheel
idna                              3.7                3.10                 wheel
imagecodecs                       2023.1.23          2024.9.22            wheel
imageio                           2.33.1             2.36.0               wheel
imbalanced-learn                  0.12.3             0.12.4               wheel
importlib-metadata                7.0.1              8.5.0                wheel
incremental                       22.10.0            24.7.2               wheel
iniconfig                         1.1.1              2.0.0                wheel
intake                            0.7.0              2.0.7                wheel
ipykernel                         6.28.0             6.29.5               wheel
ipython                           8.25.0             8.29.0               wheel
ipywidgets                        7.8.1              8.1.5                wheel
itemadapter                       0.3.0              0.9.0                wheel
itemloaders                       1.1.0              1.3.2                wheel
jaraco.classes                    3.2.1              3.4.0                wheel
jedi                              0.18.1             0.19.2               wheel
jellyfish                         1.0.1              1.1.0                wheel
json5                             0.9.6              0.9.28               wheel
jsonpointer                       2.1                3.0.0                wheel
jsonschema                        4.19.2             4.23.0               wheel
jsonschema-specifications         2023.7.1           2024.10.1            wheel
jupyter                           1.0.0              1.1.1                wheel
jupyter_client                    8.6.0              8.6.3                wheel
jupyter-lsp                       2.2.0              2.2.5                wheel
